#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
576,Inamo,Retail/E-Commerce Enablers,$2M,Venture Debt,Prime Venture Partners,February 2026,Entrackr,https://entrackr.com/news/quick-commerce-enabler-inamo-raises-8-mn-led-by-prime-venture-partners-11167854,Venture Debt,[PARTIAL] $2M venture debt portion confirmed
577,SFO Technologies,Industrial/Manufacturing,$82M,PE,Trident Growth Partners,February 2026,Business Standard,https://www.business-standard.com/companies/start-ups/sfo-tech-raises-750-cr-funding-led-by-trident-growth-amicus-capital-126030100535_1.html,PE,[DISCREPANCY] Rs 750 Cr ($90M not $82M); announced March not February
578,Pronto,Consumer/Local Services,$25M,Series B,Epiq Capital,February 2026,Entrackr,https://entrackr.com/news/pronto-raises-25-mn-in-series-b-led-by-epiq-capital-11170918,Series B,
579,Innoviti,Retail/In Store Retail Tech,$11.4M,Unattributed,Bessemer Venture Partners,February 2026,Inc42,https://inc42.com/buzz/exclusive-innoviti-closes-series-m-funding-round-at-%E2%82%B9104-cr/,Series M,[PARTIAL] Rs 104 Cr ($11.4M) and Bessemer confirmed; Series M not Unattributed
580,RehabVeda,Life Sciences/Neurology,$110K,Angel,Mohit Yadav,February 2026,Parul University,https://www.paruluniversity.ac.in/news-and-awards/how-a-rehabilitation-startup-secured-a-deal-from-namita-thapar-and-mohit-yadav/,Angel (Shark Tank),
581,The Artment,Consumer/Home Furnishing,$1.1M,Seed,Indian Angel Network,February 2026,YourStory,https://yourstory.com/2026/02/startup-news-and-updates-daily-roundup-february-27-2026,Seed,[PARTIAL] Seed from Indian Angel Network confirmed; specific $1.1M unconfirmed
582,Grevoro,Enterprise/Manufacturing Tech,$4.73M,Seed,Undisclosed,February 2026,Inc42,https://inc42.com/buzz/grevoro-bags-%E2%82%B943-cr-from-family-offices-to-build-low-carbon-products/,Seed,
583,Pragyan Child Development Centre,Healthcare/Rehabilitation,$110K,Angel,Namita Thapar,February 2026,CEOVine,https://www.ceovine.com/pragyan-child-development-centre-raises-rs-1-crore-on-shark-tank-india,Angel (Shark Tank),
584,Temple,High Tech/Wearable Tech,$54M,Seed,Steadview,February 2026,Entrackr,https://entrackr.com/news/deepinder-goyals-new-startup-temple-raises-54-mn-at-a-190-mn-valuation-11161849,Seed,
585,Nailinit,Retail/Beauty Tech,$330K,Seed,Gruhas Collective Consumer Fund,February 2026,StartupTalky,https://startuptalky.com/news/nailinit-raises-pre-seed-round-from-gruhas-collective-consumer-fund-to-build-a-community-led-nail-care-brand/,Pre-seed,
586,FREED,FinTech/Alternative Lending,$6.6M,Series A,Aavishkaar Capital,February 2026,Entrackr,https://entrackr.com/snippets/aavishkaar-capital-leads-rs-60-cr-round-in-debt-relief-platform-freed-11158185,Series A,
587,CurryIt,Food/Beverage,$165K,Angel,Mohit Yadav,February 2026,The Tribune,https://www.tribuneindia.com/news/business/curryit-secures-rs-1-5-crore-deal-on-shark-tank-india-from-mohit-yadav-of-minimalist/,Angel (Shark Tank),
588,Reneonix,Environment/Waste & Water,$187K,Seed,Inflection Point Ventures,February 2026,StartupTalky,https://startuptalky.com/news/deep-tech-startup-reneonix-raises-1-70-crore-in-pre-seed-round-led-by-inflection-point-ventures/,Pre-seed,
589,Gushwork,Enterprise/MarketingTech,$9M,Seed,SIG Venture Capital,February 2026,Entrackr,https://entrackr.com/snippets/gushwork-secures-9-mn-led-by-susquehanna-asia-vc-11157636,Seed,[DISCREPANCY] Lead is Susquehanna Asia VC not SIG Venture Capital
590,Spintly,Real Estate/Facility Management,$8M,Series A,Accel,February 2026,Entrackr,https://entrackr.com/snippets/spintly-raises-8-mn-from-accel-enrission-india-and-others-11160379,Series A,
591,Gut Clinic & Endoscopy Centre,Healthcare/Clinics,$1M,Seed,Amitoj Singh,February 2026,Entrackr,https://entrackr.com/snippets/healthcare-platform-gut-clinic-raises-1-mn-in-seed-round-11153828,Seed,
592,Pulse,Healthcare/Medical Device Outsourcing,$4M,Seed,3one4 Capital,February 2026,Entrackr,https://entrackr.com/snippets/medical-equipment-startup-pulse-secures-4-mn-led-by-30ne4-capital-11152811,Seed,
593,Misfits,Consumer/Social Platforms,$110K,Angel,Kanika Tekriwal,February 2026,Dealroom,https://app.dealroom.co/news/feed/misfits-bags-120-000-from-shark-tank-india-to-scale-offline-community-platform,Angel (Shark Tank),
594,SuperProcure,Consumer/Logistics Tech,$1.6M,Seed,Pentathlon Ventures,February 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/superprocure-a-unified-tms-platform-secures-14-cr-investment-led-by-pentathlon-ventures-126022500400_1.html,Seed,
595,Varaha,Environment/Air Pollution,$2.2M,Series B,Vaom Special Opportunity,February 2026,Business Standard,https://www.business-standard.com/companies/start-ups/varaha-series-b-45-million-westbridge-capital-126020401702_1.html,Series B,[DISCREPANCY] $45M from WestBridge not $2.2M from Vaom; climate-tech not air pollution
596,Zeromoblt,EdTech/K-12,$165K,Seed,Sandeep Varaganti,February 2026,Entrackr,https://entrackr.com/snippets/student-mobility-startup-zeromobit-raises-pre-seed-round-11150709,Pre-seed,
597,Home Essentials,Retail/Home Improvements,$7.7M,Series A,360 One,February 2026,Entrackr,https://entrackr.com/snippets/home-essentials-raises-rs-70-cr-in-pre-series-b-led-by-360-one-asset-11154140,Pre-Series B,[PARTIAL] Rs 70 Cr ($7.7M) confirmed; Pre-Series B not Series A
598,OptoMl,High Tech/AI Infrastructure,$1.8M,Seed,Bluehill VC,February 2026,Entrackr,https://entrackr.com/snippets/semiconductor-startup-optoml-raises-18-mn-in-pre-series-a-round-11149795,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
599,Basil,Retail/Home Improvements,$2M,Seed,Prime Venture Partners,February 2026,Entrackr,https://entrackr.com/snippets/d2c-brand-basil-raises-2-mn-in-pre-series-a-led-by-prime-venture-partners-11149862,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
600,Puresta,Consumer/Beauty & Personal Care,$3.7M,Seed,Spring,February 2026,Inc42,https://inc42.com/buzz/puresta-bags-3-7-mn-to-build-ai-powered-full-stack-dermatology-platform/,Pre-Seed,[DISCREPANCY] Listed as Seed; press reports Pre-Seed.
601,Kris@Work,Enterprise/Sales Automation,$3M,Seed,Info Edge Ventures,February 2026,Incubees,https://incubees.com/kriswork-raises-3m-seed-funding-led-by-infoedge-ventures-to-build-the-new-ai-native-go-to-market-gtm-execution-platform/,Seed,
602,OnCare,Healthcare/Clinic Chains,$2.97M,Series A,Sky Impact Capital,February 2026,StartupNews.fyi,https://startupnews.fyi/2026/02/24/healthcare-startup-oncare-raises-rs-27-crore-in-round-led-by-sky-impact-capital/,Series A,"[DISCREPANCY] Amount ~₹27cr (~$3.24M) vs listed $2.97M, minor."
603,Wishlink,Retail/Social Commerce,$17.5M,Series B,Vertex Ventures,February 2026,Entrackr,https://entrackr.com/news/wishlink-raises-175-mn-in-series-b-round-led-by-vertex-ventures-11149626,Series B,
604,Hycosys,Energy Tech/Energy Storage,$1M,Seed,MountTech Growth Fund,February 2026,Entrackr,https://entrackr.com/snippets/hycosys-raises-seed-round-led-by-mounttech-growth-funds-kavachh-11147416,Seed,
605,Coulomb Litech,Energy/Energy Storage,$2.2M,Seed,Anikarth Ventures,February 2026,Energetica India,https://energetica-india.net/news/coulomb-litech-raises-usd-2-2-million-for-heavy-ev-batteries,Seed,
606,My Designation,Consumer/Apparel,$4.41M,Series A,RPSG Capital Ventures,February 2026,Entrackr,https://entrackr.com/snippets/d2c-fashion-brand-mydesignation-raises-40-cr-in-series-a-round-11146761,Series A,
607,DATOMS,Enterprise/Manufacturing Tech,$2.76M,Series A,Big Capital JSC,February 2026,Entrackr,https://entrackr.com/snippets/deeptech-iot-startup-datoms-raises-rs-25-cr-in-series-a-led-by-big-capital-jsc-11146538,Series A,
608,Heizen,High Tech/Agentic AI,$99K,Angel,Amit Jain,February 2026,CEOVine,https://www.ceovine.com/heizen-secures-rs-90-lakh-deal-on-shark-tank-india/,Angel (Shark Tank),
609,Hoopr,Consumer/Music Tech,Undisclosed,Seed,TCA,February 2026,StartupNews.fyi,https://startupnews.fyi/2026/02/25/optoml-has-raised-1-8-million/,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A. (Source URL may be mismatched by verifying agent.)
610,Myelin Foundry,High Tech/Agentic AI,$5.27M,Series B,ASM Technologies,February 2026,Inc42,https://inc42.com/buzz/ai-startup-myelin-foundry-raises-48-cr-from-asm-technologies/,Series B,
611,Maity,Healthcare/Home Healthcare,Undisclosed,Angel,Favcy Venture Builders,February 2026,Startup Story,https://startupstorymedia.com/from-corporate-careers-to-caring-for-indias-elders-maitys-secures-angel-funding-to-scale-the-silver-economy/,Angel,
612,Roopya,FinTech/Alternative Lending,$439K,Seed,Inflection Point Ventures,February 2026,Entrackr,https://entrackr.com/snippets/lending-infra-startup-roopya-raises-seed-round-led-by-ipv-11138087,Seed,
613,CoreShield,High Tech/Security & Surveillance,Undisclosed,Seed,ThinKuvate,February 2026,Fundz.net,https://app.fundz.net/fundings/coreshield-technologies-funding-round-seed-b458ca,Seed,[DISCREPANCY] Listed as undisclosed; press reports $7.832M.
614,Kelvin6k,Real Estate/Construction Tech,$110K,Angel,Ritesh Agarwal,February 2026,D2C Insider Pulse,https://pulse.d2cinsider.com/kelvin6k-secures-1-crore-shark-tank-deal-to-accelerate-3d-printed-sustainable-construction-in-india/,Angel (Shark Tank),
615,Pluto Mobility,Energy Tech/EVs,$2M,Seed,Version One Ventures,February 2026,Entrackr,https://entrackr.com/snippets/pluto-mobility-raises-2-mn-in-seed-round-11132728,Seed,
616,Portkey,High Tech/AI Infrastructure,$15M,Series A,Elevation Capital,February 2026,YourStory,https://yourstory.com/2026/02/ai-application-infra-startup-portkey-raises-series-a-round-elevation-capital,Series A,
617,Gappu,Consumer/Social Platforms,$22K,Conventional Debt,Amit Jain,February 2026,Startup Article,https://startuparticle.com/shark-tank-india/2026/02/i-feel-like-supporting-you-amit-jain-to-gappu-on-shark-tank-india-season-5-episode-34/,Debt tranche (Shark Tank),
618,Gappu,Consumer/Social Platforms,$11K,Angel,Amit Jain,February 2026,Startup Article,https://startuparticle.com/shark-tank-india/2026/02/i-feel-like-supporting-you-amit-jain-to-gappu-on-shark-tank-india-season-5-episode-34/,Angel tranche (Shark Tank),
619,Zoop,Retail/Video Commerce,Undisclosed,Seed,Peak XV Partners,February 2026,YourStory,https://yourstory.com/2026/02/peak-xv-partners-invests-in-zoop-indias-first-video-bazaar,Seed,
620,Stable Money,FinTech/Investment Tech,$25M,Series B,Peak XV Partners,February 2026,YourStory,https://yourstory.com/2026/02/stable-money-raises-25-million-in-pre-series-c-funding-led-by-peak-xv-partners,Pre-Series C,[DISCREPANCY] Listed as Series B; press reports Pre-Series C.
621,Statiq,High Tech/Smart Cities,Undisclosed,Conventional Debt,Undisclosed,February 2026,Unverified — no corroboration found,,Unverified,
622,House of Biryan,Food/Food Tech,Undisclosed,Angel,Amol Parashar,February 2026,Afaqs,https://www.afaqs.com/news/mktg/amol-parashar-joins-ms-dhoni-as-house-of-biryan-investor-11123161,Angel,
623,Memfold,Enterprise/MarketingTech,Undisclosed,Seed,Peak XV Partners,February 2026,Entrepreneur India,https://www.entrepreneurindia.com/blog/en/news/five-ai-startups-secure-peak-xv-support-to-build-population-scale-solutions.59306,Seed,
624,Statiq,High Tech/Smart Cities,$18M,Series A,Tenacity Ventures,February 2026,YourStory,https://yourstory.com/2026/02/statiq-raises-18m-tenacity-ventures,Series A,
625,ToneTag,FinTech/Payments,$5M,Series B,Qualcomm Ventures,February 2026,Business Standard,https://www.business-standard.com/companies/start-ups/tonetag-secures-5-mn-from-qualcomm-ventures-to-scale-sound-based-payments-126021801350_1.html,Series B Extension,
626,BabyWorks By Swapnil,Consumer/Fashion Accessories,$66.2K,Angel,Aman Gupta,February 2026,Startup Article,https://startuparticle.com/shark-tank-india/2026/02/babyworks-by-swapnil-secures-60-lakh-investment-for-6-equity-from-shark-aman-gupta/,Angel (Shark Tank),
627,Grapevine,Enterprise/HRTech,Undisclosed,Series A,Peak XV Partners,February 2026,Not yet checked,,,
628,Annapurna Finance,Financial/Microfinance,$100M,Conventional Debt,Undisclosed,February 2026,StartupNews.fyi,https://startupnews.fyi/2026/02/19/annapurna-finance-100m-social-loan/,Conventional Debt,
629,TruBoard,Energy/Renewable Energy,$2.2M,Seed,Earthfund,February 2026,Entrackr,https://entrackr.com/snippets/truboard-partners-raises-rs-20-cr-led-by-earth-fund-11125735,Seed,
630,Zeroharm,Life Sciences/Nutraceuticals,$4.41M,Series A,Kotak Life Sciences Fund I,February 2026,YourStory,https://yourstory.com/2026/02/zeroharm-sciences-raises-rs-65-cr-led-by-kotak-life-sciences-fund,Series A,[DISCREPANCY] Total round ₹65cr; Kotak's tranche alone is ₹40cr (~$4.8M) vs listed $4.41M.
631,Mama Nourish,Food/Online Grocery,$221K,Angel,Aman Gupta,February 2026,Inc42,https://inc42.com/company/mama-nourish/funding/,Angel (Shark Tank),
632,Peptris,HealthTech/Life Sciences,$7.72M,Series A,Speciale Invest,February 2026,YourStory,https://yourstory.com/2026/02/peptris-raises-rs-70-crore-in-series-a-co-led-by-ian-alpha-fund-and-speciale-invest,Series A,
633,HomeRun,Real Estate/Construction Tech,$6.6M,Series A,Sorin,February 2026,Entrackr,https://entrackr.com/snippets/homerun-raises-rs-60-cr-in-series-a-led-by-sorin-investments-11112913,Series A,
634,Exponent One,FinTech/Alternative Lending,$2M,Seed,AdvantEdge,February 2026,YourStory,https://yourstory.com/2026/02/exponent-energy-ev-financing-arm-exponent-one-funding-advantedge-founders,Pre-Seed,[DISCREPANCY] Listed as Seed; press reports Pre-Seed.
635,Rosada,Retail/Mom & Baby Care,$138K,Angel,Ritesh Agarwal,February 2026,Apparel Resources,https://apparelresources.com/business-news/retail/kids-lifestyle-brand-rosada-secures-investment-deal-shark-tank-india/,Angel (Shark Tank),
636,Companion Labs,High Tech/Chatbots,Undisclosed,Seed,Peak XV Partners,February 2026,Inc42,https://inc42.com/buzz/exclusive-ai-companion-app-mello-in-talks-with-peak-xv-devc-to-raise-funding/,Seed,[DISCREPANCY] Listed as undisclosed; press reports $2.5M from Peak XV Surge.
637,CraftifAI,Native AI,$3M,Seed,Ankur Capital,February 2026,Entrackr,https://entrackr.com/snippets/craftifai-secures-3-mn-in-seed-round-led-by-ankur-capital-11121741,Seed,
638,Daffodil Health,Consumer/Social Platforms,$16.3M,Series A,Flare Capital Partners,February 2026,YourStory,https://yourstory.com/2026/02/daffodil-health-raises-16-3-million-in-series-a-funding-led-by-flare-capital/,Series A,
639,Artociti,Retail/Retailers,$110K,Angel,Vineeta Singh,February 2026,Entrackr,https://entrackr.com/snippets/artociti-raises-rs-1-cr-on-shark-tank-india-at-rs-1333-cr-valuation-11124946,Angel (Shark Tank),
640,Kreo,Retail/Consumer Electronics,$110K,Angel,Ritesh Agarwal,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-gaming-brand-kreo-raises-funding-shark-tank-india-rs-100-cr-valuation,Equity tranche (Shark Tank),
641,Kreo,Retail/Consumer Electronics,$110K,Conventional Debt,Ritesh Agarwal,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-gaming-brand-kreo-raises-funding-shark-tank-india-rs-100-cr-valuation,Debt tranche (Shark Tank),
642,EventBeep,EdTech/Higher Education,$850K,Seed,Knowhere,February 2026,Entrackr,https://entrackr.com/snippets/edtech-startup-beep-raises-850k-in-pre-series-a-round-11116886,Pre-Series A,
643,Intrinsic Foundries,Environment/Air Pollution,$1.4M,Seed,Transition VC,February 2026,Entrackr,https://entrackr.com/snippets/intrinsic-foundries-raises-rs-12-cr-in-seed-round-led-by-transition-vc-11116737,Seed,
644,Kello,Enterprise/HRTech,Undisclosed,Seed,Peak XV Partners,February 2026,Peak XV,https://www.peakxv.com/companies/kello-ai,Seed,
645,Navikenz,Business/Digital Transformation,$7.5M,Seed,Sudip Nandy,February 2026,CXO Today,https://cxotoday.com/media-coverage/navikenz-raises-7-5m-in-seed-funding-to-drive-ai-led-enterprise-productivity-transformation/,Seed,
646,PRED,Consumer/Sports Tech,$2.5M,Seed,Accel,February 2026,DL News,https://www.dlnews.com/external/pred-raises-dollar25m-to-build-the-fastest-trading-experience-in-sports-prediction/,Seed,
647,Happy Pet Tech,Consumer/Local Services,Undisclosed,Angel,Devi Prasad Shetty,February 2026,Tribune India,https://www.tribuneindia.com/news/business/happy-pet-indias-first-pet-tech-company-secures-strategic-funding-from-dr-devi-shetty/,Angel,
648,Clayco,Retail/Beauty Tech,$3.3M,Series A,Twenty Nine Capital Partners,February 2026,Entrackr,https://entrackr.com/snippets/skincare-brand-clayco-raises-rs-3459-cr-in-series-a-led-by-twenty-nine-capital-11701187,Series A,
649,Neysa,Enterprise/Cloud Infrastructure,$600M,Series B,TVS Capital Funds,February 2026,Blackstone,https://www.blackstone.com/news/press/blackstone-leads-funding-of-over-1-billion-to-neysa-to-work-towards-building-indias-leading-ai-infrastructure-platform,Series B,[DISCREPANCY] Listed only TVS Capital; Blackstone led the $600M round with TVS as co-investor.
650,C2I Semiconductors,Semiconductors,$15M,Series A,Peak XV Partners,February 2026,Not yet checked,,,
651,Atypical Advantage,Enterprise/HRTech,$290K,Seed,Next Bharat Ventures,February 2026,Tracxn,https://tracxn.com/d/companies/atypicaladvantage/__loTVwz9v9UHahrJcrUJe5MzTw1vVpj96VVhCNOrQ0sw/funding-and-investors,Seed,
652,MeMeraki,Retail/Home Improvements,$110K,Angel,Varun Alagh,February 2026,StartupTalky,https://startuptalky.com/news/memeraki-secures-four-shark-investment-of-1-crore-on-shark-tank-india/,Angel (Shark Tank),
653,IDfy,Enterprise/GRC Software,$24.3M,Series F,Neo Asset Management,February 2026,Not yet checked,,,
654,e-TRNL Energy,Energy/Energy Storage,$3.02M,Seed,Indian Angel Network,February 2026,Not yet checked,,,
655,Warriorworld,Consumer/Apparel,$82.8K,Angel,Vineeta Singh,February 2026,InFashionBusiness,https://infashionbusiness.com/home/news_details/7355/11,Angel (Shark Tank),
656,Culinary Brands,Food/Food Service,$15M,Series B,Playbook Partners,February 2026,Not yet checked,,,
657,Edify.Club,Retail/Consumer Electronics,Undisclosed,Angel,Ravi Bishnoi,February 2026,Not yet checked,,,
658,Six Sense Mobility,Consumer/Road Transport,$4.8M,Seed,Piper Serica,February 2026,Not yet checked,,,
659,GREW Solar,Energy/Solar,$116M,Series D,Bay Capital,February 2026,Not yet checked,,,
660,The Binge Town,Undisclosed,$110K,Conventional Debt,Varun Alagh,February 2026,BW Disrupt,https://www.bwdisrupt.com/article/the-binge-town-secures-rs-2-cr-on-shark-tank-india-receives-show-s-highest-ever-rs-8-cr-offer-593162,Debt tranche (Shark Tank),
661,The Binge Town,Undisclosed,$110K,Angel,Varun Alagh,February 2026,India IPO,https://www.indiaipo.in/news/detail/the-binge-town-bags-rs-2-crore-on-shark-tank-india,Angel/Equity tranche (Shark Tank),
662,Ukhi,High Tech/Advanced Materials,$1.16M,Seed,Venture Catalysts,February 2026,Not yet checked,,,
663,Elixiir Foods,Food/Online Grocery,$9M,Seed,3one4 Capital,February 2026,Not yet checked,,,
664,Azista,Food/Beverage,$551K,Grant,IN-SPACe,February 2026,Inc42,https://inc42.com/buzz/dhruva-astrome-azista-to-build-indigenous-small-satellite-bus-platforms/,Grant (IN-SPACe),
665,Digitory,Food/Food Tech,$500K,Seed,Tejas Paresh Lodaya,February 2026,Entrackr,https://entrackr.com/snippets/restaurant-tech-startup-digitory-raises-pre-series-a-funding-from-tejas-paresh-lodaya-11099615,Pre-Series A,
666,Dhruva Space,Defense Tech/Space,$551K,Grant,IN-SPACe,February 2026,Inc42,https://inc42.com/buzz/dhruva-astrome-azista-to-build-indigenous-small-satellite-bus-platforms/,Grant (IN-SPACe),
667,Astrome,Telecom/Infrastructure Tech,$551K,Grant,IN-SPACe,February 2026,Inc42,https://inc42.com/buzz/dhruva-astrome-azista-to-build-indigenous-small-satellite-bus-platforms/,Grant (IN-SPACe),
668,7 Ring,FinTech/Payments,Undisclosed,Seed,Shivam Malhotra,February 2026,Not yet checked,,,
669,CotoPay,FinTech/Finance & Accounting,$82.8K,Angel,Anupam Mittal,February 2026,Inc42,https://inc42.com/company/cotopay/funding/,Angel (Shark Tank),
670,PickMyWork,Enterprise/HRTech,$500K,Angel,Tim Draper,February 2026,ANI News,https://aninews.in/news/business/pickmywork-raises-capital-from-silicon-valley-billionaire-tim-draper20260211155646/,Angel,
671,TimBuckDo,Enterprise/HRTech,$298K,Seed,Turbostart,February 2026,ThePrint,https://theprint.in/ani-press-releases/timbuckdo-closes-rs-2-70-crore-funding-round-backed-by-industry-titans-and-vcs-after-national-tv-showcase-on-ideabaaz/2854144/,Seed,
672,Articulus Surgical,High Tech/Professional Service Robots,Undisclosed,Seed,Kalaari Capital,February 2026,Not yet checked,,,
673,ShowroomB2B,Retail/Brands Tech,Undisclosed,Conventional Debt,Alteria Capital,February 2026,Not yet checked,,,
674,Crink,HealthTech/Disease Management,$199K,Seed,Kerala Startup Mission,February 2026,ANI News,https://www.aninews.in/news/business/crink-secures-rs-18-crore-pre-seed-funding-to-scale-its-ai-driven-human-wellbeing-platform20260211173747/,Pre-seed,
675,Care.fi,HealthTech/Healthcare IT,$5M,Series A,July Ventures,February 2026,Not yet checked,,,
676,Care.fi,HealthTech/Healthcare IT,$3M,Conventional Debt,Trifecta Capital,February 2026,Not yet checked,,,
677,Nester,Retail/Home Improvements,$2.1M,Seed,Fireside Ventures,February 2026,Not yet checked,,,
678,Panda's Box,Retail/Mom & Baby Care,$132K,Angel,Aman Gupta,February 2026,Entrackr,https://entrackr.com/snippets/early-learning-startup-pandas-box-raises-rs-12-cr-from-shark-tank-india-11092671,Angel (Shark Tank),
679,SportsSkill,Consumer/Sports Tech,Undisclosed,Angel,Nirav Mody,February 2026,Not yet checked,,,
680,GIVA,Consumer/Fashion Tech,$11.1M,Series C,IQ-EQ,February 2026,Not yet checked,,,
681,Benny's Bowl,Retail/Pet Tech,$1.4M,Seed,Atomic Capital,February 2026,Not yet checked,,,
682,Ethera,Consumer/Fashion Accessories,$2.75M,Seed,BlueStone,February 2026,Not yet checked,,,
683,Litemed,HealthTech/Disease Management,$2.21M,Seed,V3 Ventures,February 2026,Not yet checked,,,
684,Slurrp Farm,Food/Beverage,$3.3M,Series C,Scarlet Ventures,February 2026,Not yet checked,,,
685,Supertails,Retail/Pet Tech,$30M,Series C,Venturi Partners,February 2026,Not yet checked,,,
686,Olyv,Financial Services,$23M,Series C,Fundamentum,February 2026,Not yet checked,,,
687,DSLR,Consumer/Apparel,$9M,Series A,Z47,February 2026,Not yet checked,,,
688,Satlabs Space Systems,Space Tech,$1M,Seed,Finvolve,February 2026,Not yet checked,,,
689,Elevate Now,HealthTech,$1.99M,Seed,Physis Capital,February 2026,Not yet checked,,,
690,Radiance Renewables,Solar Energy,$100M,Series C,Impact Fund Denmark,February 2026,Not yet checked,,,
691,Preventify,Healthcare,$221K,Seed,PedalStart,February 2026,India Technology News,https://indiatechnologynews.in/preventify-raises-2-crore-pre-seed-funding-led-by-pedalstart-to-expand-branded-healthcare-clinics-in-tier-2-and-tier-3-india/,Pre-seed,
692,Fiona Diamond,Fashion Tech,$1.93M,Seed,Recur Club,February 2026,Not yet checked,,,
693,KILRR,Food Tech,$110K,Angel,Anupam Mittal,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-clean-label-meat-brand-kilrr-gets-anupam-mittals-back-shark-tank-india-pitch,Angel (Shark Tank),
694,Wholeleaf,Cannabis HealthTech,$166K,Angel,Aman Gupta,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-wholeleaf-bags-rs-15-cr-funding-shark-tank-india-season-5,Seed (Shark Tank),
695,Jaincord,Manufacturing,$22.1M,Series A,Indroma Ventures,February 2026,Not yet checked,,,
696,House of EM5,Beauty Tech,Undisclosed,Angel,Suryakumar Yadav,February 2026,Not yet checked,,,
697,KUHI BATH,Beauty & Personal Care,$11.1K,Grant,Government of Assam,February 2026,Unverified — no corroboration found,,Unverified,"UNVERIFIED — ₹11.1K Assam government grant, too small/regional for any outlet to have covered. Plausible but uncorroborated."
698,Material Depot,Home Improvement,$10M,Series A,Accel,February 2026,Not yet checked,,,
699,Dr Doodley,Pet Tech,$2.21M,Seed,V3 Ventures,February 2026,Not yet checked,,,
700,Dr Doodley,Pet Tech,$1.11M,Debt,V3 Ventures,February 2026,Not yet checked,,,
701,Digital Striker,Telecom Infrastructure,$1M,Seed,Foxhog Ventures,February 2026,Not yet checked,,,
702,Good Monk,Food & Beverage,$3.65M,Seed,RPSG Capital Ventures,February 2026,Not yet checked,,,
703,ZILO,Fashion Tech,$15.3M,Series A,Peak XV Partners,February 2026,Not yet checked,,,
704,Octobotics Tech,Robotics,$1.11M,Seed,Navam Capital,February 2026,Not yet checked,,,
705,EyeROV,Maritime Tech,$1.44M,Seed,AWE Funds,February 2026,Not yet checked,,,
706,Invogue Shop,Fashion Tech,$221K,Angel,Aman Gupta,February 2026,Apparel Resources,https://in.apparelresources.com/business-news/retail/shapewear-brand-invogue-raises-us-22000-shark-tank-india-us-1-47-million-valuation/,Angel (Shark Tank),
707,ALT,FinTech,$664K,Seed,Nila Spaces,February 2026,CB Insights,https://www.cbinsights.com/company/alt-drx/financials,Seed,
708,The Whole Truth Foods,Food Tech,Undisclosed,Series D,Sofina,February 2026,Not yet checked,,,
709,NASH,Auto Components,Undisclosed,PE,ChrysCapital,February 2026,Not yet checked,,,
710,Natturz,Plant-based Dairy,$1M,Seed,35North Ventures,February 2026,Entrackr,https://entrackr.com/snippets/alternative-dairy-startup-15-degree-raises-1-mn-in-pre-series-a-led-by-35north-ventures-11074779,Pre-Series A,"[DISCREPANCY] Real company is ""1.5 Degree""; round mislabeled (Pre-Series A, not Seed)."
711,Gamepoint,Sports Tech,$775K,Seed,Raj P Narayanam,February 2026,Entrackr,https://entrackr.com/snippets/sports-tech-startup-gamepoint-raises-pre-series-a-round-11075216,Pre-Series A,
712,Krvvy,Fashion Tech,$133K,Angel,Namita Thapar,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-krvvy-raises-rs-12-cr-shark-tank-india-rs-40-cr-valuation,Angel (Shark Tank),
713,CHINI KUM,Food & Beverage,$111K,Angel,Varun Sachdeva,February 2026,Entrackr,https://entrackr.com/snippets/beverage-startup-chini-kum-raises-pre-seed-funding-11077951,Pre-seed,
714,EndureAir,Military Tech,Undisclosed,Series A,Sagar Defence Engineering,February 2026,Inc42,https://inc42.com/buzz/dronetech-startup-endureair-raises-inr-25-cr-from-ian-alpha-fund/,Seed (IAN Alpha),"[DISCREPANCY] Drone-tech, not military tech; the listed Series A with Sagar Defence not found."
715,Taasha Craft,Fashion Tech,$83K,Angel,Aman Gupta,February 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-taasha-craft-secures-rs-75-lakh-deal-shark-tank-india-season-5,Angel (Shark Tank),
716,Neverinstall,Cloud OS,Undisclosed,Seed,Equirus Capital,February 2026,Unverified — no corroboration found,,Unverified,
717,Mindcase,MarketingTech,$164K,Seed,ajvc,February 2026,Entrackr,https://entrackr.com/snippets/market-intelligence-startup-mindcase-raises-seed-funding-led-by-ajvc-11069641,Seed,
718,ONYC,Fashion Tech,$164K,Debt,Recur Club,February 2026,Tracxn,https://tracxn.com/d/companies/onyc/__47_052tT45k4NnEx_4SS4-z9OdXcr4odlRNooLaBdtE/funding-and-investors,Debt,
